Date,open,high,low,close,volume,adjusted_close
1991-09-18,1.250,1.250,1.250,1.250,1000,1.745
1991-09-19,1.250,1.375,1.250,1.375,2100,1.919
1991-09-20,1.375,1.375,1.250,1.250,4600,1.745
1991-09-23,1.375,1.375,1.375,1.375,100,1.919
1991-09-24,1.375,1.625,1.375,1.625,17000,2.268
1991-09-25,1.625,1.750,1.625,1.625,9500,2.268
1991-09-26,1.625,1.625,1.500,1.500,1900,2.094
1991-09-27,1.625,1.625,1.625,1.625,100,2.268
1991-09-30,1.625,1.625,1.625,1.625,300,2.268
1991-10-01,1.625,1.625,1.625,1.625,100,2.268
1991-10-02,1.500,1.500,1.500,1.500,100,2.094
1991-10-03,1.500,1.500,1.375,1.375,8600,1.919
1991-10-04,1.500,1.625,1.500,1.500,1400,2.094
1991-10-07,1.625,1.625,1.625,1.625,100,2.268
1991-10-08,1.500,1.500,1.500,1.500,1300,2.094
1991-10-09,1.625,1.625,1.625,1.625,100,2.268
1991-10-10,1.500,1.500,1.500,1.500,100,2.094
1991-10-11,1.500,1.500,1.500,1.500,3500,2.094
1991-10-14,1.500,1.500,1.500,1.500,100,2.094
1991-10-15,1.500,1.500,1.500,1.500,4500,2.094
1991-10-16,1.625,1.625,1.625,1.625,100,2.268
1991-10-17,1.500,1.500,1.375,1.500,5500,2.094
1991-10-18,1.500,1.500,1.500,1.500,1200,2.094
1991-10-21,1.500,1.500,1.500,1.500,600,2.094
1991-10-22,1.500,1.500,1.500,1.500,1600,2.094
1991-10-23,1.500,1.500,1.500,1.500,3100,2.094
1991-10-24,1.375,1.375,1.375,1.375,500,1.919
1991-10-25,1.500,1.500,1.500,1.500,1000,2.094
1991-10-28,1.500,1.500,1.500,1.500,500,2.094
1991-10-29,1.500,1.500,1.500,1.500,100,2.094
1991-10-30,1.500,1.625,1.500,1.625,700,2.268
1991-10-31,1.625,1.625,1.625,1.625,100,2.268
1991-11-01,1.625,1.625,1.625,1.625,600,2.268
1991-11-04,1.500,1.500,1.500,1.500,900,2.094
1991-11-05,1.500,1.500,1.500,1.500,500,2.094
1991-11-06,1.375,1.375,1.375,1.375,44800,1.919
1991-11-07,1.375,1.500,1.375,1.500,25800,2.094
1991-11-08,1.500,1.750,1.500,1.625,37300,2.268
1991-11-11,1.625,1.625,1.500,1.500,15400,2.094
1991-11-12,1.500,1.625,1.500,1.500,24900,2.094
1991-11-13,1.500,1.625,1.500,1.500,2500,2.094
1991-11-14,1.500,1.625,1.500,1.625,5000,2.268
1991-11-15,1.625,1.625,1.500,1.500,1900,2.094
1991-11-18,1.500,1.500,1.375,1.500,6400,2.094
1991-11-19,1.500,1.500,1.375,1.500,1500,2.094
1991-11-20,1.500,1.500,1.500,1.500,1500,2.094
1991-11-21,1.500,1.500,1.375,1.375,13400,1.919
1991-11-22,1.375,1.375,1.375,1.375,0,1.919
1991-11-25,1.375,1.500,1.375,1.375,3400,1.919
1991-11-26,1.375,1.500,1.375,1.500,3000,2.094
1991-11-27,1.500,1.500,1.500,1.500,5000,2.094
1991-11-29,1.500,1.500,1.500,1.500,58500,2.094
1991-12-02,1.500,1.625,1.500,1.500,10400,2.094
1991-12-03,1.625,1.625,1.625,1.625,400,2.268
1991-12-04,1.625,1.625,1.500,1.625,700,2.268
1991-12-05,1.625,1.750,1.625,1.625,11500,2.268
1991-12-06,1.625,1.750,1.625,1.625,5000,2.268
1991-12-09,1.625,1.750,1.625,1.750,5700,2.443
1991-12-10,1.750,1.750,1.625,1.625,8700,2.268
1991-12-11,1.750,1.875,1.750,1.750,9600,2.443
1991-12-12,1.750,1.875,1.750,1.750,11100,2.443
1991-12-13,1.750,1.750,1.750,1.750,1600,2.443
1991-12-16,1.750,1.750,1.625,1.750,1800,2.443
1991-12-17,1.750,1.750,1.625,1.625,2200,2.268
1991-12-18,1.625,1.750,1.625,1.625,2200,2.268
1991-12-19,1.625,1.625,1.625,1.625,300,2.268
1991-12-20,1.625,1.625,1.625,1.625,100,2.268
1991-12-23,1.625,1.625,1.625,1.625,1400,2.268
1991-12-24,1.625,1.625,1.625,1.625,100,2.268
1991-12-26,1.625,1.625,1.625,1.625,500,2.268
1991-12-27,1.750,1.750,1.750,1.750,500,2.443
1991-12-30,1.750,1.750,1.625,1.750,800,2.443
1991-12-31,1.750,1.750,1.750,1.750,600,2.443
1992-01-02,1.875,1.875,1.875,1.875,2300,2.617
1992-01-03,1.875,2.125,1.875,2.000,17900,2.791
1992-01-06,2.000,2.125,2.000,2.000,5800,2.791
1992-01-07,2.000,2.000,1.875,1.875,3200,2.617
1992-01-08,1.750,1.750,1.750,1.750,1500,2.443
1992-01-09,1.875,1.875,1.875,1.875,3600,2.617
1992-01-10,1.875,1.875,1.750,1.875,2800,2.617
1992-01-13,1.750,1.750,1.750,1.750,1900,2.443
1992-01-14,1.750,1.875,1.750,1.750,1100,2.443
1992-01-15,1.750,1.875,1.750,1.750,3600,2.443
1992-01-16,1.750,1.750,1.750,1.750,7700,2.443
1992-01-17,1.750,1.875,1.750,1.750,800,2.443
1992-01-20,1.750,1.875,1.750,1.875,3200,2.617
1992-01-21,1.875,1.875,1.875,1.875,100,2.617
1992-01-22,1.875,1.875,1.875,1.875,300,2.617
1992-01-23,1.875,2.000,1.875,2.000,4100,2.791
1992-01-24,2.000,2.000,1.875,1.875,2300,2.617
1992-01-27,1.875,2.000,1.875,1.875,5000,2.617
