Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
12/5/2012,11.23,25.6896,5845981,84.049,11.39,11.2,11.353,21.3745,48.7268,12495676416,-0.0282,0.7953,11.23,0.0049,2.8283,,,,,,,,
12/6/2012,11.36,25.5425,6417909,86.1796,11.4,11.2,11.354,60.2638,50.6325,12640328704,-0.0263,0.7956,11.36,0.0049,2.8508,,,,,,,,
12/7/2012,11.34,25.0697,7298425,85.8518,11.5,11.21,11.364,54.0899,50.3348,12618074112,-0.0247,0.7955,11.34,0.0137,2.8882,,,,,,,,
12/10/2012,11.43,25.7028,4866657,87.3268,11.485,11.29,11.373,72.8587,51.6581,12718217216,-0.0252,0.7951,11.43,0.011,2.8683,,,,,,,,
12/11/2012,11.58,25.5376,10640536,89.7852,11.605,11.36,11.398,86.5773,53.7813,12885123072,-0.0199,0.7956,11.58,0.0119,2.8658,0.0169,,,,,,,
12/12/2012,11.5,25.6349,8374579,88.4741,11.74,11.46,11.394,61.6489,52.5089,12796106752,-0.0213,0.7956,11.5,0.0115,2.8458,,,,,,,,
12/13/2012,11.49,25.3399,5293305,88.3102,11.59,11.41,11.397,58.4911,52.3488,12784979968,-0.0205,0.7953,11.49,0.0064,2.7747,,,,,,,,
12/14/2012,11.41,25.4278,3552102,86.9991,11.54,11.37,11.3925,36.225,51.0599,12695963648,-0.0209,0.7955,11.41,0.0044,2.771,0.0288,,,,,,,
12/17/2012,11.125,26.9723,9009623,82.3282,11.39,11.04,11.374,11.9387,46.8124,12378843136,-0.0296,0.7916,11.125,0.0004,2.706,,,,,,,,
12/18/2012,11.11,26.9902,9376767,82.0823,11.27,10.99,11.3575,11.3386,46.6013,12362151936,-0.032,0.7905,11.11,-0.002,2.6887,,,,,,,,
12/19/2012,10.8494,27.5625,12672412,77.8109,11.17,10.73,11.3194,4.9083,43.1078,12072153088,-0.0357,0.7919,10.8494,-0.0025,2.6563,,,,,,,,
12/20/2012,10.78,27.6494,14616486,76.674,10.91,10.51,11.2614,4.002,42.2359,11994959872,-0.0376,0.7914,10.78,-0.0086,2.6637,,,,,,,,
12/21/2012,10.65,27.8147,11890827,74.5434,10.7,10.5,11.1924,2.6347,40.6424,11850307584,-0.0382,0.792,10.65,-0.0079,2.6612,0.0801,,,,,,,
12/24/2012,10.68,28.5554,2159773,75.035,10.75,10.59,11.1174,12.9319,41.1723,11883688960,-0.0424,0.7911,10.68,-0.0102,2.6413,0,,,,,,,
12/26/2012,10.67,28.5619,3605025,74.8712,10.75,10.62,11.0264,12.2824,41.0459,11872562176,-0.0418,0.791,10.67,-0.007,2.6338,,,,,,,,
12/27/2012,10.59,28.6668,5274077,73.56,10.66,10.5,10.9354,7.6637,40.0294,11783545856,-0.043,0.791,10.59,-0.0061,2.4327,,,10.1808,620000000,1.9163,20.0226,10.1909,0
12/28/2012,10.56,28.3681,4719889,73.0684,10.67,10.52,10.8424,6.3256,39.6485,11750164480,-0.0407,0.7905,10.56,-0.0092,2.5072,,,,,,,,
12/31/2012,10.62,28.9098,6038692,74.0517,10.67,10.48,10.7634,38.5251,40.8138,11816926208,-0.0416,0.7896,10.62,-0.0066,2.5221,,,,,,,,
1/2/2013,10.945,29.015,6091825,79.3782,10.95,10.75,10.7454,83.792,46.5922,12178555904,-0.0388,0.793,10.945,-0.0044,2.5587,,,,,,,,
1/3/2013,11.01,28.9322,7201690,80.4434,11.01,10.88,10.7354,86.7246,47.6496,12250882048,-0.0373,0.7928,11.01,0.0069,2.561,,,,,,,,
1/4/2013,11.17,28.7317,4070817,83.0657,11.21,10.99,10.7675,92.0415,50.1623,12428914688,-0.0355,0.7933,11.17,0.0057,2.5175,-0.0187,,,,,,,
1/7/2013,11.18,29.2767,3655820,83.2296,11.25,11.05,10.8075,92.3295,50.3165,12440041472,-0.028,0.7939,11.18,0.0037,2.506,,,,,,,,
1/8/2013,10.99,29.5186,6141768,80.1157,11.16,10.96,10.8415,45.4518,47.4323,12228627456,-0.029,0.7943,10.99,0.0025,2.5037,-0.2502,,,,,,,
1/9/2013,10.94,29.5835,3489221,79.2962,11.05,10.895,10.8675,37.8633,46.7035,12172992512,-0.0302,0.7941,10.94,0.0245,2.6389,0.3345,,,,,,,
1/10/2013,10.93,29.5965,4145443,79.1323,11.018,10.845,10.8935,36.0574,46.5555,12161864704,-0.0314,0.7937,10.93,0.0279,2.6343,,,,,,,,
1/11/2013,11.52,30.3106,21329006,88.8019,11.52,10.8,10.9865,87.7534,55.2171,12818361344,-0.0196,0.7937,11.52,0.0324,2.6503,,,,,,,,
1/14/2013,11.5,30.4842,7227861,88.4741,11.59,11.41,11.0805,84.2884,54.905,12796106752,-0.015,0.7961,11.5,0.0274,2.616,,,,,,,,
1/15/2013,11.57,30.3973,4764340,89.6213,11.6,11.43,11.1755,86.9861,55.8092,12873996288,-0.0124,0.7962,11.57,0.0265,2.616,,,,,,,,
1/16/2013,11.42,30.5989,4809537,87.1629,11.55,11.37,11.223,56.051,53.4342,12707090432,-0.015,0.7962,11.42,0.0242,2.6022,0.2652,,,,,,,
1/17/2013,11.42,30.3161,3551465,87.1629,11.54,11.41,11.264,56.051,53.4342,12707090432,-0.0158,0.796,11.42,0.0315,2.6114,,,,,,,,
1/18/2013,11.36,30.3916,6944335,86.1796,11.46,11.3,11.283,42.4607,52.4782,12640328704,-0.0172,0.7958,11.36,0.0283,2.5908,0.3077,,,,,,,
1/22/2013,11.4,30.4977,3712804,86.8352,11.57,11.34,11.305,53.6893,53.0574,12684836864,-0.0124,0.7953,11.4,0.0296,2.5999,,,,,,,,
1/23/2013,11.31,30.6114,7628543,85.3602,11.5,11.29,11.337,32.3698,51.5938,12584692736,-0.0141,0.7952,11.31,0.0277,2.6091,0.4117,,,,,,,
1/24/2013,11.35,29.7882,4899965,86.0157,11.475,11.28,11.378,46.5259,52.2001,12629200896,-0.0134,0.7952,11.35,0.0351,2.6114,,,,,,,,
1/25/2013,11.39,29.7383,4060119,86.6713,11.41,11.3,11.424,59.3035,52.8114,12673709056,-0.0145,0.7952,11.39,0.0342,2.616,0.4245,,,,,,,
1/28/2013,11.4,30.0695,4948650,86.8352,11.58,11.31,11.412,62.6502,52.967,12684836864,-0.0119,0.7976,11.4,0.0321,2.5908,0.41,,,,,,,
1/29/2013,11.42,30.0446,4203739,87.1629,11.52,11.34,11.404,70.0414,53.2857,12707090432,-0.0127,0.7974,11.42,0.0352,2.6114,0.0092,,,,,,,
1/30/2013,11.31,30.1849,5157238,85.3602,11.48,11.27,11.378,26.6055,51.3078,12584692736,-0.014,0.7976,11.31,0.0377,2.6687,0.1814,,,,,,,
1/31/2013,11.4,29.7503,9047978,86.8352,11.48,11.25,11.376,58.3243,52.791,12684836864,-0.012,0.7974,11.4,0.0366,2.6572,,,,,,,,
2/1/2013,11.65,29.4462,5182025,90.9324,11.65,11.41,11.399,85.1196,56.5904,12963012608,-0.013,0.7956,11.65,0.0383,2.7145,0.206,,,,,,,
2/4/2013,11.6,30.3782,7192936,90.113,11.69,11.47,11.423,71.3561,55.6636,12907377664,-0.0135,0.7952,11.6,0.0409,2.7351,0.3004,,,,,,,
2/5/2013,11.85,30.0773,11816735,94.2102,11.895,11.45,11.468,87.0549,59.1263,13185553408,-0.0109,0.7966,11.85,0.0446,2.7626,,,,,,,,
2/6/2013,11.94,30.008,8054473,95.6853,11.99,11.7701,11.531,90.0111,60.2815,13285697536,-0.0094,0.7966,11.94,0.07,3.0718,,,,,,,,
2/7/2013,12.06,29.068,12737612,97.6519,12.06,11.815,11.602,93.143,61.7718,13419222016,-0.0071,0.7964,12.06,0.109,3.1085,,,,,,,,
