40918,37.47,37.95,37.02,37.93,13300,35.38,106880285,0.02,13291,1570,1.48,0.05
40919,37.91,38.2,37,37.6,17500,35.07,105477800,0.02,17575,6361,1.46,0.05
40920,37.89,37.89,34.31,34.31,16600,32,91600580,0.02,16534,6361,1.34,0.05
40921,34.45,35.5,32.75,34.14,15300,31.85,90883520,0.02,15273,6361,1.33,0.05
40925,34.49,36.89,34.28,36.35,12000,33.91,100205300,0.02,11928,6361,1.41,0.05
40926,36.63,36.78,35.85,36.44,36500,33.99,100584920,0.02,36421,6361,1.42,0.05
40927,36.5,37.24,36.5,36.71,8600,34.24,101723780,0.02,8555,6361,1.43,0.05
40928,37,37.18,36.75,37.18,9500,34.68,103706240,0.02,9490,6361,1.45,0.05
40931,38.1,38.1,37,37.88,13800,35.33,106658840,0.02,13723,6361,1.47,0.05
40932,38,38,37.28,37.85,8200,35.31,106532300,0.02,8133,6361,1.47,0.05
40933,37.95,38.6,37.95,38.48,11000,35.89,109189640,0.01,10990,9185,1.5,0.05
40934,39,39.49,38.42,38.81,8300,36.2,110581580,0.01,8212,9185,1.51,0.06
40935,38.8,38.8,38.49,38.5,7700,35.91,109274000,0.01,7650,9185,1.5,0.06
40938,38.8,39.53,38.38,38.78,8000,36.17,110455040,0.01,7952,9185,1.51,0.06
40939,39.22,39.22,38.13,38.13,7400,35.57,107713340,0.01,7344,9185,1.48,0.05
40940,38.36,38.5,38.33,38.44,7500,35.86,109020920,0.01,7454,9185,1.5,0.05
40941,38.97,38.97,38.34,38.74,25500,36.14,110286320,0.01,25461,9185,1.51,0.06
40942,39,39,38.18,38.49,16100,35.9,109231820,0.01,16053,9185,1.5,0.06
40945,37.98,39,37.98,38.34,15400,35.76,108599120,0.01,15361,9185,1.49,0.05
40946,38.75,39,38.45,38.9,10400,36.29,110961200,0.01,10386,9185,1.51,0.06
40947,38.69,39.75,38.65,39.75,7500,37.08,114546500,0.01,7481,9185,1.55,0.06
40948,40.02,41.5,40.02,40.73,28800,37.99,118680140,0.01,28736,7135,1.59,0.06
40949,40.89,41.3,40.1,40.4,10300,37.69,117288200,0.01,10226,7135,1.57,0.06
40952,40.96,41,40.76,40.95,19900,38.2,119608100,0.01,19818,7135,1.59,0.06
40953,40.9,41.57,40.34,40.9,14300,38.15,119376110,0.01,14255,7135,1.59,0.06
40954,41.19,41.19,40,40.9,17100,38.15,119397200,0.01,17097,7135,1.59,0.06
40955,40.75,40.96,38.49,40.49,23500,37.77,117667820,0.01,23431,7135,1.58,0.06
40956,40.93,40.93,38.26,38.28,25300,35.71,108346040,0.01,25244,7135,1.49,0.05
40960,38.71,39.15,38.28,38.87,23900,36.26,110834660,0.01,23863,7135,1.51,0.06
40961,38.97,40.29,38.87,39.72,24000,37.05,114419960,0.01,23964,7135,1.55,0.06
40962,40,40.35,40,40.11,11700,37.41,116064980,0.01,11606,7135,1.56,0.06
40963,40.36,41.45,40.34,41.18,26200,38.41,120578240,0.01,26171,7135,1.6,0.06
40966,41.41,42.45,41.41,41.89,20400,39.08,123573020,0.01,20351,3241,1.63,0.06
40967,42.11,42.11,41.29,41.94,58400,39.12,123783920,0.01,58322,3241,1.63,0.06
40968,42.04,42.5,41.47,41.47,20500,38.68,121801460,0.01,20430,3241,1.61,0.06
40969,41.86,46,41.86,45.7,15400,42.63,139643600,0.01,15304,3241,1.78,0.07
