40683.00,94.55,94.65,93.13,93.56,3486900.00,82.45,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
40925.00,84.85,85.36,84.13,84.23,2694900.00,75.26,2694881.00,60773174350.00,6453427.00,2.02,3.48,0.03,0.01
40926.00,84.14,85.12,84.02,85.07,3721100.00,76.01,3721024.00,61361884150.00,6453427.00,2.04,3.51,0.03,0.01
40927.00,85.10,86.23,84.92,85.80,3413700.00,76.66,3413676.00,61873501000.00,6453427.00,2.06,3.54,0.03,0.01
40928.00,85.45,85.70,84.96,85.65,3522600.00,76.53,3522616.00,61768374250.00,6453427.00,2.05,3.54,0.03,0.01
40931.00,85.70,86.06,85.31,85.61,3494800.00,76.49,3494750.00,61740340450.00,6453427.00,2.05,3.54,0.03,0.01
40932.00,85.26,85.94,84.63,85.93,3895600.00,76.78,3895556.00,61964610850.00,6453427.00,2.06,3.55,0.03,0.01
40933.00,85.30,86.66,85.00,86.48,4412000.00,77.27,4411987.00,62350075600.00,7438843.00,2.07,3.57,0.03,0.01
40934.00,87.51,87.99,87.00,87.58,4898900.00,78.25,4898806.00,62866005100.00,7438843.00,2.07,3.84,0.03,0.01
40935.00,87.15,87.80,86.67,87.46,3747200.00,78.14,3747183.00,62268076200.00,7438843.00,2.05,3.83,0.03,0.01
40938.00,86.50,87.59,86.42,87.34,3148400.00,78.04,3148316.00,62184679800.00,7438843.00,2.05,3.83,0.03,0.01
40939.00,87.88,87.88,85.79,86.71,3552100.00,77.47,3552184.00,61746848700.00,7438843.00,2.04,3.80,0.03,0.01
40940.00,87.52,87.98,87.23,87.35,3005500.00,78.05,3005447.00,62191629500.00,7438843.00,2.05,3.83,0.03,0.01
40941.00,87.25,87.77,87.06,87.43,2288000.00,78.12,2288113.00,62247227100.00,7438843.00,2.05,3.83,0.03,0.01
40942.00,88.08,88.29,87.47,87.73,3195500.00,78.39,3195408.00,62455718100.00,7438843.00,2.06,3.84,0.03,0.01
40945.00,87.15,87.94,87.15,87.56,2189300.00,78.23,2189281.00,62337573200.00,7438843.00,2.06,3.84,0.03,0.01
40946.00,87.32,88.22,86.69,87.89,2959100.00,78.53,2959012.00,62566913300.00,7438843.00,2.06,3.85,0.03,0.01
40947.00,88.12,88.29,87.68,87.97,2522800.00,78.60,2522788.00,62622510900.00,7438843.00,2.06,3.85,0.03,0.01
40948.00,87.54,88.18,87.46,88.02,3031600.00,78.64,3031603.00,62657259400.00,6686062.00,2.07,3.86,0.03,0.01
40949.00,87.20,87.56,86.75,87.14,3085700.00,77.86,3085695.00,62045685800.00,6686062.00,2.05,3.82,0.03,0.01
40952.00,87.57,88.09,87.16,88.03,2530600.00,78.65,2530550.00,62664209100.00,6686062.00,2.07,3.86,0.03,0.01
40953.00,87.60,88.00,87.22,87.99,2850300.00,78.62,2850239.00,62636410300.00,6686062.00,2.07,3.86,0.03,0.01
40954.00,87.42,87.72,86.75,87.01,3647000.00,78.27,3647039.00,61955339700.00,6686062.00,2.04,3.81,0.03,0.01
40955.00,86.99,87.76,86.96,87.65,2548800.00,78.84,2548732.00,62883781600.00,6686062.00,2.06,3.95,0.03,0.01
