Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
6/27/2011,133.17,97.9957,45109354496,7432900,1576.1486,134.24,129.19,123.951,83.4738,51.9526,46409281536,0.2317,1.3084,133.17,67.1287,0.1678,31.1425,-0.1553,,,,,,,
6/28/2011,136.17,97.7295,46154846208,7972439,1613.9081,137,133.5,125.086,88.459,53.5825,47454773248,0.2319,1.3086,136.17,67.6453,0.1658,31.3821,0.4895,,,,,,,
6/29/2011,137.58,94.5837,46646226944,7948663,1631.6552,137.96,135.37,126.96,90.483,54.3357,47946153984,0.2312,1.3082,137.58,67.9849,0.1703,31.5397,-0.1751,,,,,,,
6/30/2011,140.13,94.3533,47265476608,9461348,1663.7507,140.25,137.25,129.349,93.551,55.681,48834818048,0.2272,1.3106,140.13,65.5372,0.1551,30.4042,0.039,,,,,,,
7/1/2011,143.346,94.4062,48386240512,7246560,1704.2291,143.35,138.9,131.9156,95.9941,57.3215,49955581952,0.2327,1.3118,143.346,63.9488,0.1492,29.6672,,,,,,,,
7/5/2011,145.87,92.9323,49311707136,9713920,1735.9974,146.3,142.92,134.6746,97.2296,58.5667,50881048576,0.2346,1.3196,145.87,65.515,0.1549,30.3938,-0.1385,,,,,,,
7/6/2011,145.84,92.9325,49301241856,6982615,1735.6199,146.68,143,136.4876,96.6979,58.5457,50870583296,0.2338,1.3196,145.84,64.768,0.1495,30.0473,0.3015,,,,,,,
7/7/2011,147.01,91.4359,49709350912,6925537,1750.3461,148.44,145.07,138.7016,97.4982,59.1369,51278692352,0.2336,1.3167,147.01,67.5782,0.1616,31.351,0.1237,,,,,,,
7/8/2011,147.78,91.3752,49977933824,7759865,1760.0377,147.8,140.62,140.5576,97.9813,59.5299,51547279360,0.2373,1.3153,147.78,68.1902,0.1645,31.6349,,,,,,,,
7/11/2011,142.4,91.0553,48101330944,7877856,1692.3223,146.99,141.02,141.9296,32.4063,55.6611,49670676480,0.2313,1.3232,142.4,70.185,0.1642,32.5603,,,,,,,,
7/12/2011,138.94,91.36,46894444544,8729597,1648.7728,142.3,137.7,142.5066,19.6924,53.3543,48463790080,0.2272,1.3245,138.94,71.24,0.1704,33.0498,0.0999,,,,,,,
7/13/2011,142.29,90.4799,48062963712,6512567,1690.9377,144.5,141.86,143.1186,48.8416,55.2134,49632305152,0.2305,1.325,142.29,68.9936,0.1771,32.0076,-0.3061,,,,,,,
7/14/2011,140.82,90.6196,47550210048,6756795,1672.4355,144.36,139.81,143.4426,39.4231,54.2322,49119555584,0.2264,1.3242,140.82,70.6535,0.1958,32.7777,-0.2144,,,,,,,
7/15/2011,146.93,90.6662,49681444864,8347587,1749.3392,147.24,143.671,144.1226,72.4936,57.4811,51250790400,0.2311,1.3227,146.93,71.7976,0.1779,33.3085,-0.4785,,,,,,,
7/18/2011,148.13,88.2801,50100019200,6593742,1764.443,148.8,145,144.601,76.3046,58.0856,51669360640,0.2298,1.3165,148.13,75.3609,0.1948,34.9616,,,,,,,,
7/19/2011,152.56,87.9353,51645251584,7477084,1820.2014,152.75,149.722,145.27,86.5916,60.2442,53214593024,0.2304,1.3172,152.56,73.9304,0.1937,34.2979,,,,,,,,
7/20/2011,154.99,87.7578,52492861440,8490583,1850.7866,155.9,151.76,146.185,90.1206,61.373,54062202880,0.2333,1.3169,154.99,72.5984,0.1936,33.68,,,,,,,,
7/21/2011,150.17,88.1397,50811592704,10218087,1790.1196,155.5,149.63,146.501,50.5422,57.9941,52380938240,0.2276,1.3091,150.17,71.9524,0.1977,33.3803,,,,,,,,
7/22/2011,154,87.8561,52147539968,5649746,1838.326,155,151,147.123,67.5357,59.8128,53716881408,0.2368,1.3087,154,72.7728,0.2075,33.7609,,,,,,,,
7/25/2011,156.54,87.1042,53033517056,12332563,1870.2958,157.9,152.76,148.537,75.8054,60.972,54602862592,0.2317,1.3085,156.54,70.0644,0.2087,32.5044,,,,,,,,
7/26/2011,164.36,86.5307,55761219584,17769392,1968.7224,165.96,162.1,151.079,88.8832,64.2559,57330565120,0.2427,1.3052,164.36,69.7943,0.2053,32.3791,0.4628,,,,,,,
