Pricing Date,3M Company (NYSE:MMM) - Share Pricing,3M Company (NYSE:MMM) - Day High Price,3M Company (NYSE:MMM) - Day Low Price,3M Company (NYSE:MMM) - Day Open Price,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding,3M Company (NYSE:MMM) - Latest Annualized Dividend Per Share
Mar-02-2007,73.01,73.79,73.00,73.25,5008700,55561016860,2.33743400,5.38365600,5608343,0.026297,0.00764198,1.92
Mar-05-2007,73.17,73.77,72.90,73.01,4908900,55678438620,2.34255700,5.39545400,5608343,0.026240,0.00764198,1.92
Mar-06-2007,73.47,73.69,73.00,73.62,4308500,55898604420,2.35216100,5.41757500,5608343,0.026133,0.00764198,1.92
Mar-07-2007,73.80,74.19,73.17,73.50,3775600,56140786800,2.36272600,5.44190900,5608343,0.026016,0.00764198,1.92
Mar-08-2007,74.52,75.15,74.00,74.03,3815900,56669184720,2.38577700,5.49500100,5608343,0.025764,0.00764198,1.92
Mar-09-2007,74.73,75.31,74.54,74.59,3346200,56823300780,2.39250100,5.51048600,5608343,0.025692,0.00764198,1.92
Mar-12-2007,75.17,75.29,74.60,74.61,3220100,57146210620,2.40658700,5.54293100,5608343,0.025542,0.00764198,1.92
Mar-13-2007,74.77,75.50,74.65,74.75,4431700,56852656220,2.39378100,5.51343600,5608343,0.025678,0.00764198,1.92
Mar-14-2007,75.80,75.84,74.42,74.78,4613200,57608558800,2.42675700,5.58938600,5608343,0.025329,0.00764198,1.92
Mar-15-2007,75.99,76.26,75.67,75.80,3930100,57747997140,2.43284000,5.60339700,5608343,0.025266,0.00764198,1.92
Mar-16-2007,75.28,76.26,75.15,76.23,5054500,57226938080,2.41010900,5.55104200,5608343,0.025504,0.00764198,1.92
Mar-19-2007,76.36,76.46,75.50,75.54,3200500,58019534960,2.44468500,5.63068000,5608343,0.025144,0.00764198,1.92
Mar-20-2007,76.38,76.50,76.04,76.49,2379600,58034212680,2.44532600,5.63215500,5608343,0.025137,0.00764198,1.92
Mar-21-2007,76.90,77.06,76.05,76.25,3086297,58415833400,2.46197400,5.67049900,5608343,0.024967,0.00764198,1.92
Mar-22-2007,77.78,78.00,76.91,77.09,4205325,59061653080,2.49014700,5.73538900,4960940,0.024685,0.00675982,1.92
Mar-23-2007,77.97,78.16,77.39,77.59,2780900,59201091420,2.49623000,5.74939900,4960940,0.024624,0.00675982,1.92
Mar-26-2007,77.38,77.67,76.94,77.66,3542100,58768098680,2.47734100,5.70589300,4960940,0.024812,0.00675982,1.92
Mar-27-2007,77.17,77.47,76.81,77.44,2692200,58126345390,2.44934500,5.69040800,4960940,0.024880,0.00681853,1.92
Mar-28-2007,76.38,77.17,76.18,76.74,3186300,57551567460,2.42427100,5.63215500,4960940,0.025137,0.00681853,1.92
Mar-29-2007,76.09,76.38,75.44,76.38,4233215,57340573030,2.41506600,5.61077100,4960940,0.025233,0.00681853,1.92
Mar-30-2007,76.43,77.04,75.67,75.98,3400500,57587945810,2.42585800,5.63584200,4960940,0.025121,0.00681853,1.92
Apr-02-2007,76.28,76.44,75.91,76.44,2414400,57478810760,2.42109700,5.62478100,4960940,0.025170,0.00681853,1.92
Apr-03-2007,77.46,77.61,76.47,76.53,3094800,58337339820,2.45854900,5.71179200,4960940,0.024786,0.00681853,1.92
Apr-04-2007,77.16,77.73,76.94,77.50,2596800,58119069720,2.44902800,5.68967100,4960940,0.024883,0.00681853,1.92
Apr-05-2007,76.75,77.03,76.36,77.03,2484700,57820767250,2.43601400,5.65943800,4960940,0.025016,0.00681853,1.92
Apr-09-2007,76.83,77.03,76.30,76.84,2127725,57878972610,2.43855300,5.66533700,4960940,0.024990,0.00681853,1.92
Apr-10-2007,76.50,77.00,76.42,76.88,2149787,57638875500,2.42807900,5.64100300,4960940,0.025098,0.00681853,1.92
Apr-11-2007,76.23,76.70,75.91,76.50,2798620,57442432410,2.41951000,5.62109400,4960940,0.025186,0.00681853,1.92
Apr-12-2007,76.71,76.92,75.95,76.29,2288057,57791664570,2.43474500,5.65648800,4960940,0.025029,0.00681853,1.92
Apr-13-2007,76.72,77.25,75.91,77.25,2453645,57798940240,2.43506200,5.65722600,4960940,0.025026,0.00681853,1.92
Apr-16-2007,77.16,77.32,76.71,76.91,2483600,58119069720,2.44902800,5.68967100,4960940,0.024883,0.00681853,1.92
Apr-17-2007,77.28,77.47,76.48,77.00,2381300,58206377760,2.45283600,5.69851900,4960940,0.024844,0.00681853,1.92
Apr-18-2007,77.08,77.36,76.75,77.34,2094781,58060864360,2.44648800,5.68377200,4960940,0.024909,0.00681853,1.92
Apr-19-2007,77.58,77.89,76.31,76.36,3557711,58424647860,2.46235800,5.72064100,4960940,0.024748,0.00681853,1.92
Apr-20-2007,77.75,78.50,77.54,77.96,4741265,58548334250,2.46775400,5.73317700,5399844,0.024694,0.00742178,1.92
Apr-23-2007,77.28,77.89,77.01,77.75,3573754,58206377760,2.45283600,5.69851900,5399844,0.024844,0.00742178,1.92
Apr-24-2007,77.00,77.35,76.51,77.14,3757100,58002659000,2.44394900,5.67787300,5399844,0.024935,0.00742178,1.92
Apr-25-2007,76.97,77.51,76.45,76.96,4650800,57980831990,2.44299700,5.67566100,5399844,0.024944,0.00742178,1.92
Apr-26-2007,80.45,81.09,79.23,80.31,14209050,60848765150,2.51591500,5.76292700,5399844,0.023865,0.00742178,1.92
Apr-27-2007,81.55,82.30,79.70,79.97,6776407,61048717750,2.52450900,5.84172400,5399844,0.023543,0.00749765,1.92
Apr-30-2007,82.77,83.25,80.88,81.56,6321736,61927367850,2.56227600,5.92911700,5399844,0.023196,0.00749765,1.92
May-01-2007,83.61,83.73,82.16,82.77,5560106,62532340050,2.58828000,5.98928900,5399844,0.022963,0.00749765,1.92
May-02-2007,84.42,84.75,83.20,83.40,5272109,63115706100,2.61335500,6.04731200,5399844,0.022743,0.00749765,1.92
May-03-2007,84.07,84.40,83.51,84.31,4869241,62863634350,2.60252000,6.02224000,5399844,0.022838,0.00749765,1.92
